epoch,lr,train_loss,validation_loss,dice_red,dice_green,dice_blue,dice_average,iou_red,iou_green,iou_blue,iou_average,accuracy_red,accuracy_green,accuracy_blue,accuracy_average,fpr_red,fpr_green,fpr_blue,fpr_average,fnr_red,fnr_green,fnr_blue,fnr_average,precision_red,precision_green,precision_blue,precision_average,recall_red,recall_green,recall_blue,recall_average,dice_red_e,dice_green_e,dice_blue_e,dice_average_e,iou_red_e,iou_green_e,iou_blue_e,iou_average_e,accuracy_red_e,accuracy_green_e,accuracy_blue_e,accuracy_average_e,fpr_red_e,fpr_green_e,fpr_blue_e,fpr_average_e,fnr_red_e,fnr_green_e,fnr_blue_e,fnr_average_e,precision_red_e,precision_green_e,precision_blue_e,precision_average_e,recall_red_e,recall_green_e,recall_blue_e,recall_average_e
1,0.002,14.569043843075633,0.7023857515305281,0.330051179636807,0.5729659341515025,0.395534410228471,0.4328505080055938,0.24857609383674573,0.45024380385060797,0.3221480287935992,0.34032264216031777,0.9956797594577074,0.9910779749974609,0.9963698154687881,0.9943758499746516,0.0009918024377142843,0.0034293558284488766,0.0010133444259660962,0.0018115008973764181,0.7070151624362916,0.4530073507782072,0.6178183653252199,0.5926136261799069,0.41185907304286956,0.6192848579841665,0.4298782437425689,0.48700739158986794,0.2929848375809888,0.5469926499066059,0.382181634685694,0.4073863740577634,0.7075710310025162,0.7468781263640757,0.809062738766831,0.7545039653778076,0.5542615446146955,0.5987777267948965,0.6812614825334442,0.6114335846476787,0.9972425371073605,0.9948028868503784,0.9985190402255969,0.9968548213944455,0.0017950047521061903,0.0011928923123285928,0.0005712387138281771,0.00118637859275432,0.22088655084371567,0.34161707541246095,0.22123307918899515,0.2612455684817239,0.659142435601588,0.8673976934357975,0.8458151000269344,0.7907850763547732,0.7791134507468577,0.6583829217412499,0.7787669200575753,0.738754430848561
2,0.0018000000000000002,5.540153928101063,0.5814338647760451,0.7494776688143611,0.8003532408177852,0.8274239008128643,0.792418270148337,0.6056112787872553,0.6688123182579875,0.7071725494042039,0.6605320488164818,0.9979226225614548,0.9953792381286621,0.998587335050106,0.9972963985800739,0.0006467565635125539,0.0018379478987117183,0.0006044690936050756,0.0010297245186097822,0.30595511056482794,0.22771718903444707,0.18512389791663736,0.23959873250530428,0.8309921136125922,0.8367780973762273,0.848467004597187,0.8387457385286701,0.6940448896214366,0.7722828110307455,0.814876102283597,0.7604012676452586,0.7933582321981366,0.8089991319045592,0.8521841958667455,0.8181805199898137,0.6620594085602278,0.6803038729710525,0.7438840383893988,0.6954157733068931,0.9983567930339428,0.995214606269022,0.9987564991029461,0.9974426328019704,0.0004991569363033357,0.003246928300980604,0.0007777625513053761,0.0015079492628631052,0.2637649327516556,0.13450652222787396,0.11482952510038119,0.17103366002663686,0.869045553582438,0.7604546218775632,0.8237632037548537,0.817754459738285,0.7362350650717703,0.8654934790696991,0.8851704764901922,0.8289663402105538
3,0.0016200000000000001,4.786797740962356,0.5799862458370626,0.7895774684101343,0.8259915142506361,0.8506676782667637,0.8220788869758446,0.6575652896799147,0.7047705368697643,0.7413528835773469,0.701229570042342,0.9982281752675771,0.9959396371245384,0.9987676676362753,0.9976451600094636,0.000596619624154755,0.0016215773268777412,0.0005423158485518797,0.0009201709331947926,0.2547827625460923,0.19955796593334527,0.15884848608169705,0.20439640485371174,0.8525317426398397,0.8580692131072283,0.8653970015048981,0.8586659857506563,0.7452172357402742,0.800442033931613,0.8411515144258738,0.7956035946992545,0.6867647140883328,0.8303846154320106,0.8191540910956565,0.778767806872,0.5300408533115065,0.7109798795721504,0.6954267634434647,0.6454824987757072,0.9978616726532411,0.9961156490143765,0.9983177252030104,0.9974316822902095,0.00017531148193300171,0.0016925271732596617,0.0014360841733843004,0.001101307609525655,0.4505030350403839,0.1876961716105429,0.06294159026125844,0.23371359897072838,0.9371619485737233,0.8507818733708242,0.7298870274190152,0.8392769497878543,0.5494969637876146,0.8123038290591722,0.9370584119571729,0.7662864016013198
4,0.001458,4.308789936127141,0.45893261511810124,0.8153814506903291,0.8430733307451009,0.8600892489403487,0.8395146767919265,0.6927435380965471,0.7296682251989841,0.7558345680683851,0.7260821104546387,0.998443326279521,0.9963281278312206,0.9988472448289394,0.9978728996465607,0.0005259379338190228,0.0014881926836824277,0.0005156985562371119,0.0008432763912461868,0.22633667916990816,0.1794176976196468,0.14805157015565784,0.18460198231507097,0.8703914844244719,0.8703490844368935,0.8731847771257162,0.8713084486623599,0.7736633214727044,0.8205823016911745,0.8519484297186136,0.8153980176274979,0.8154296466473783,0.8456697470686408,0.8572695134730821,0.8394563023963669,0.6924622604686222,0.7335090657298484,0.7512427595224274,0.7257380285736328,0.9985685254750627,0.9964470240507233,0.998917677429285,0.9979777423183573,0.0002872425561844047,0.0015972946937917994,0.00026689304952546325,0.0007171434331672224,0.26235860276423145,0.16825132339857937,0.19944859170511867,0.2100195059559766,0.9195197840754905,0.861244986566265,0.9242465770646427,0.9016704492354659,0.7376413984914844,0.8317486804522826,0.8005514051137346,0.789980494685834
5,0.0013122000000000001,3.842253536451608,0.46218920312821865,0.8408995300531388,0.8594957763701677,0.8715056405216456,0.8573003156483163,0.7283785161748528,0.7543437143415213,0.773257561326027,0.7519932639474669,0.998641685768962,0.9967019594460725,0.9989388896524907,0.9980941782891751,0.0004738318051931856,0.0013672227874121745,0.0004803870054729487,0.0007738138660261019,0.19489602263318376,0.15901988827157765,0.13439961574506015,0.16277184221660726,0.8855544236302376,0.8815567645430565,0.8811154090613127,0.8827421990782021,0.8051039766147733,0.8409801126271487,0.8656003835052252,0.8372281575823822,0.8417697669414992,0.829888153611944,0.8727197359117229,0.8481258854883886,0.7303039947252595,0.7107212067989821,0.7750807799650042,0.7387019938297485,0.9987636074591218,0.9963502535659275,0.9990162762363305,0.9980433790871269,0.00026882235348300507,0.0008738023625278657,0.0002966444981722632,0.0004797564047277115,0.2252899550654915,0.23722852515370657,0.16846560845884045,0.21032802955934624,0.9267170576567061,0.9119377008984598,0.9198003913579362,0.9194850499710338,0.7747100457716524,0.7627714711628603,0.8315343917085883,0.7896719695477005
6,0.00118098,3.5855883166659623,0.36476990091614425,0.8523714445531368,0.8680254793912172,0.8787033858150244,0.8663667699197931,0.7454370412603021,0.7675978790968656,0.7845500767230987,0.7658616656934221,0.9987394028156996,0.9969116085767746,0.9989988042414188,0.998216605211297,0.00044854333109924484,0.0012895049827420734,0.0004563543817403115,0.000731467565193877,0.17974335638806224,0.14960959598887713,0.12690435965079813,0.15208577067591253,0.8915207367390394,0.8881487012654543,0.8876085866242647,0.8890926748762533,0.8202566438168287,0.8503904035687446,0.8730956403911114,0.8479142292588945,0.8705552106492975,0.8736099486940363,0.8882555847757319,0.877473581373022,0.7727399106775776,0.776163491640198,0.7995442841829878,0.7828158955002545,0.9989294295900324,0.9970758845297139,0.9991071826956245,0.9983708322717906,0.0004406157922551685,0.0013156852075369672,0.00037349167468256496,0.0007099308914915669,0.1508366119828117,0.13834725378939275,0.1271914074595055,0.13879175774390332,0.8943989384040404,0.8864448612995361,0.9053317415580321,0.8953918470872024,0.8491633869289013,0.8616527466291792,0.8728085917033507,0.8612082417538107
7,0.001062882,3.3103301704395562,0.34777832170948386,0.8662193463742733,0.8779237120598554,0.8869205848127604,0.877021214415629,0.7661851320043206,0.7830026344954968,0.7974989393353462,0.7822289019450536,0.9988501541316509,0.9971240278333425,0.9990646418184042,0.9983462745944646,0.00041576925107619897,0.0012208496348830521,0.0004290845891227946,0.0006885678250273489,0.16226729933638126,0.13718641357962041,0.11865845546592027,0.13937072279397403,0.900106830894947,0.8953002124279738,0.8950336818397046,0.8968135750542099,0.8377327005192637,0.8628135864436627,0.8813415449857712,0.8606292773162332,0.8734840402442418,0.8831193848942103,0.8831932243336452,0.8799322164906992,0.7772375459081671,0.7912423322709758,0.7912927323512817,0.7865908701768081,0.9989284384116698,0.9972737103365781,0.9991019991006744,0.9984347159496402,0.0005469670144153048,0.001325066133370895,0.00022826998259445778,0.0007001010434602194,0.12691139722808023,0.12097133093335655,0.16429702929231557,0.13739325248458412,0.8750326988402377,0.8876450838667623,0.9372811813033028,0.899986321336767,0.8730886036090637,0.8790286685643571,0.8357029697868261,0.8626067473200822
8,0.0009565938,3.086519629578106,0.3506577124353498,0.87611987054348,0.8863927387446165,0.8933418357372284,0.8852848150084415,0.7812291299551726,0.7964090634137392,0.8078138846158981,0.7951506926616031,0.9989293693751097,0.997313022017479,0.9991144926846027,0.9984522946923974,0.00039825757224207334,0.001152625362992694,0.0004061715730767901,0.0006523515027705201,0.15005983525887132,0.12737669080030173,0.11196391725563444,0.12980014777160245,0.9062469807267189,0.9018686329573393,0.9007194693386554,0.9029450276742373,0.8499401646852494,0.8726233085989952,0.8880360834300518,0.8701998522381011,0.870837926864624,0.8767686526427109,0.8965662322687299,0.8813909372586881,0.7732229674800059,0.7812170573834623,0.8130279324027929,0.7891559857554205,0.9989746782217133,0.9972046499841669,0.9991626223821318,0.9984473168626704,0.0002454943792707106,0.0010453369141441215,0.0004080343774710834,0.0005662885569619718,0.1846811900312981,0.15038763246174608,0.10586356133055151,0.1469774612745319,0.9367991853296087,0.9062491595075371,0.8997142268030831,0.9142541905467426,0.815318812145276,0.849612368626541,0.8941364408878798,0.8530225405532321
9,0.00086093442,2.9251566217280924,0.3306250600144267,0.883411205932498,0.8917200484871864,0.8987756751477718,0.8913023098558187,0.7926456447690725,0.805041364133358,0.8166438524425029,0.8047769537816448,0.9989911308139563,0.9974352691322566,0.999158401042223,0.9985282669961442,0.00037994308887391527,0.0011114844737676322,0.0003892293834132943,0.0006268856486849467,0.14047301372746004,0.12047191862482577,0.10596025245962665,0.12230172827063748,0.9106370224058629,0.9055140966176987,0.9051001954078675,0.9070837714771433,0.8595269855111838,0.8795280817896127,0.8940397466719151,0.8776982713242363,0.8752814718846524,0.8830307193016738,0.9019319408395318,0.8867480440086198,0.7799412480900797,0.7911487462815274,0.8217423598418075,0.7976107847378048,0.9990036983168527,0.9973535758725712,0.9992104360226834,0.9985225700707027,0.00021958685543170995,0.0009164755020730113,0.0003640209864223313,0.0005000277813090175,0.1818335046259205,0.1479074302851484,0.10540839133972532,0.14504977541693145,0.9427372043052417,0.916832501968641,0.9100276345617315,0.9231991136118712,0.8181664957089371,0.8520925687939933,0.8945916074045589,0.8549502239691629
10,0.000774840978,2.780490740435198,0.30217685643583536,0.8887457626312971,0.8973677207529545,0.9019607494771481,0.896024744287133,0.801079546585679,0.8141901188343763,0.821923793554306,0.8123978196581213,0.9990359460562468,0.9975663674622774,0.9991874898970127,0.9985966011385115,0.0003662060443457449,0.0010617835543234833,0.00037753840912955637,0.0006018426692662625,0.1340777004044503,0.11430078255943954,0.1020382046769373,0.11680556254694227,0.914467650204897,0.9101555052399636,0.9076679199188947,0.910763691787919,0.8659222998470067,0.8856992173194885,0.897961795553565,0.883194437573353,0.8940758109092712,0.8918937833121653,0.9040949873709947,0.896688193864144,0.8098329245374444,0.8053961871715074,0.82543826438068,0.8135557920298773,0.9991185350364513,0.9975653618909,0.9992398197731275,0.9986412389001593,0.000386258923161508,0.0007597895403225184,0.0002921133538743408,0.00047938727245278886,0.12021153286266863,0.1434463844372985,0.11553187609723445,0.1263965977990672,0.9099601681312818,0.9305877692244026,0.9251856690042475,0.9219112021199772,0.8797884663839018,0.8565536168184174,0.8844681221447633,0.8736034017823608
11,0.0006973568802,2.643006614409387,0.29354319302365184,0.8950114261358977,0.9023604941368103,0.9063023560494184,0.9012247587740412,0.8114091550558805,0.8223975244164466,0.8291084808856248,0.8209717201193172,0.9990919583290815,0.9976770884543658,0.9992241275310516,0.9986643914381665,0.0003480959180251375,0.0010195125226891831,0.00035961833376859433,0.0005757422581609717,0.12651766300201417,0.10836212266236543,0.09862722313962877,0.11116900293466937,0.9189916828274727,0.9140800189971924,0.9124514289200306,0.9151743769148979,0.8734823367744684,0.8916378775984048,0.9013727770745754,0.8888309971491501,0.8947062452187698,0.8952124145593536,0.9091783688309487,0.8996990095363573,0.8108910978510139,0.8108047802796524,0.8338470659898908,0.8185143147068525,0.9991425249014008,0.9976326541954212,0.9992608314149836,0.998678670170602,0.00029332478315859844,0.0007772516191732976,0.000392699580158243,0.00048775866083004637,0.1359258864200517,0.1364322750086195,0.08619217570410685,0.11951677904425936,0.9289786795551858,0.9295857387982057,0.9050239465209875,0.9211961216247927,0.864074115003093,0.863567725326238,0.9138078267654676,0.8804832223649328
12,0.0006276211921800001,2.537311383173801,0.28387222974561155,0.8995765053480863,0.9059806191176176,0.9096761151403189,0.9050777465353395,0.8185914086550474,0.8284340453147888,0.8347642463445664,0.827263233438135,0.9991224248707294,0.9977696841210126,0.9992512853443623,0.9987144647787022,0.00034266159369963136,0.000984568448693608,0.00034920253050586326,0.0005588108576330335,0.11947660786099731,0.10387353911995888,0.09444246290251612,0.10593086996115744,0.9206579194962978,0.9167271795123816,0.9147703850269318,0.9173851613452029,0.8805233921855689,0.8961264605075121,0.9055575371533632,0.8940691299488147,0.8970223758997542,0.9026036476821042,0.9117523117011852,0.9037927784276809,0.8144871338029925,0.8229005952899375,0.8381852862540256,0.825191005115652,0.999155934607045,0.9977057911037059,0.9992724978521969,0.9987114078543157,0.00027457186657107394,0.0012280658977053892,0.00043649561268282696,0.0006463777923197635,0.13516127678115716,0.09217609548836611,0.0723992298995511,0.0999122007230248,0.9327072394028139,0.89760645252935,0.8967637091540219,0.9090258003620619,0.8648387233862717,0.9078239068556367,0.9276007701841633,0.900087800142024
13,0.0005648590729620001,2.4382270864443853,0.2873926942702383,0.9033678989112377,0.9098062482476235,0.9123731063306332,0.9085157511631651,0.8248410645872355,0.8348062212765217,0.8392664747685195,0.8329712535440917,0.9991601372510195,0.9978550650924444,0.9992742142081261,0.9987631388505289,0.00033267180829852803,0.0009543003472936107,0.00033796248267208283,0.000541644879421407,0.11450807376299053,0.09918929833453148,0.09194997095502913,0.10188244768418375,0.9229158591479063,0.9195508194714784,0.9176005009561777,0.9200223931918537,0.8854919269680976,0.90081070125103,0.9080500297248364,0.8981175526479874,0.9038286376535223,0.899445658989167,0.9132011432326241,0.9054918132917709,0.8256981982274002,0.8176309272144617,0.8406356204761548,0.827988248639339,0.9992039893450362,0.9975500468457683,0.9993081407600575,0.9986873923169539,0.00032067740131025673,0.0017049074738045757,0.0002807205676341827,0.0007687684809163383,0.11470142161745704,0.06547067958987161,0.10133320570326923,0.09383510230353263,0.923854471592421,0.8671018963449457,0.9284893140364229,0.9064818939912631,0.8852985809358318,0.9345293219169873,0.8986667950501602,0.9061648993009935
14,0.0005083731656658001,2.3520375851076096,0.265951786423102,0.9073750893672805,0.9115894779190421,0.91527397544572,0.9107003588353596,0.8314348792701549,0.83859832839109,0.8441470275086366,0.8373860738519571,0.9991922966380591,0.9979241417348385,0.9992941955899416,0.9988038521756718,0.0003215042249185866,0.0009276232647425786,0.00032863998456876455,0.00052572395856411,0.10950484682102973,0.09696018507238477,0.08888058238738544,0.09916834665229535,0.9256925519476545,0.9209418971743435,0.9202294493646586,0.9216168711986392,0.8904951534074299,0.9030398152302951,0.9111194179413167,0.9008316536527139,0.9023602484317308,0.908916839722837,0.9147040890843681,0.9086603924129788,0.8232591600900285,0.8334258928727568,0.8431819958633251,0.8332890162753701,0.9991928225152948,0.9978946253155054,0.9992963263158048,0.9987945913822016,0.00030248517300044135,0.0009027758843443367,0.000428774895563753,0.0005446786509695103,0.12093466331952074,0.10347045229726963,0.06869406793057249,0.09769972784912093,0.9279115327288595,0.9218398935339424,0.8989862451392613,0.9162458904673543,0.8790653368060508,0.896529545275013,0.9313059308555689,0.9023002709788774
